DM_INSTITUCION_COD_INSTITUCION,NOMBRE,CCB_NIT_INST,ORDEN,SUBORDEN,NIVEL_INSTITUCION,CLASIFICACION_ORGANICA,SECTOR,NATURALEZA_JURIDICA,TIPO_INSTITUCION,IDMUNICIPIO,MUNICIPIO,IDDEPARTAMENTO,DEPARTAMENTO,DIRECCION,FAX,EMAIL,CCB_TELEFONO,CCB_PAGINA_WEB,LONGITUD,LATITUD,ESTADO_INS,NOMBRE_REPRESENTANTE,CARGO_REPRESENTANTE
5250,PERSONERIA DE GUATEQUE,820002490,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,322,GUATEQUE,15,BOYACÁ,"""CARRERA 6 No. 9-60""",NULL,NULL,7540488,NO DISPONIBLE,-73.471423,5.006385,ACTIVA,NULL,NULL
2113,CONCEJO DE EL CALVARIO,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,245,EL CALVARIO,50,META,"""calle 4 N° 4 - 18 Barrio Centro""",NULL,NULL,7008619,NO DISPONIBLE,-73.712966,4.352332,ACTIVA,NULL,NULL
0249,ALCALDIA DE COELLO,800100051,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,200,COELLO,73,TOLIMA,"""CALLE 3 N °2  71  """,0982886081,NULL,2886103,http://www.coello.gov.co,-74.897875,4.286261,ACTIVA,NULL,NULL
8275,CAPITAL SALUD EPS-S S.A.S.,NULL,TERRITORIAL,DISTRITAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,SOCIEDAD DE ECONOMÍA MIXTA,VINCULADAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""Calle 77A # 12A-35""",NULL,NULL,3265410,https://www.capitalsalud.gov.co,-74.072092,4.710989,ACTIVA,NULL,NULL
8223,INSTITUTO MUNICIPAL DE  DEPORTE Y RECREACION,900589580,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ENTIDAD DESCENTRALIZADA INDIRECTA,VINCULADAS,300,GUACHENÉ,19,CAUCA,"""CALLE 4 # 5 – 46 Jorge Eliécer Gaitán, Guachené - Cauca""",NULL,NULL,8259101,http://www.guachene-cauca.gov.co,-76.2333,3.0801,ACTIVA,NULL,NULL
4391,GOBERNACION DE ANTIOQUIA,890900286,TERRITORIAL,DEPARTAMENTAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,GOBERNACIÓN,ADSCRITAS,1,MEDELLÍN,05,ANTIOQUIA,"""Calle 42B Número 52- 106 Centro Administrativo Departamental \""José María Córdova\""""",3839476,NULL,3839000,http://www.antioquia.gov.co,-75.564574,6.2530471,ACTIVA,ANIBAL  GAVIRIA CORREA,NULL
0786,ALCALDIA DE MORALES - BOLIVAR,890480431,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,473,MORALES,13,BOLÍVAR,"""Morales -Bolivar""",5698042,NULL,5698376,http://www.morales-bolivar.gov.co,-73.868176,8.27533,ACTIVA,NULL,NULL
4248,EMPRESAS MUNICIPALES DE MIRANDA,800114551,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS DE SERVICIOS PUBLICOS DOMICILIARIOS - MIXTAS,VINCULADAS,455,MIRANDA,19,CAUCA,"""cle 6 No. 5-21 b/central""",2676090,NULL,8476093,NO DISPONIBLE,-76.229027,3.251528,ACTIVA,NULL,NULL
1537,"ASAMBLEA DEPARTAMENTAL DEL ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",890981786,TERRITORIAL,DEPARTAMENTAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,ASAMBLEA DEPARTAMENTAL,NO APLICA,1,SAN ANDRÉS,88,ARCHIPIÉLAGO DE SAN ANDRÉS. PROVIDENCIA Y SANTA CATALINA,"""carrera 30 Nº 30-20""",8650106,NULL,8650077,http://asamblea-sanandresislas.gov.co,-81.7005615,12.5847197,ACTIVA,NULL,NULL
5286,PERSONERIA DE LA URIBE,822006168,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,370,URIBE,50,META,"""Carrera 6 No. 5-18 Palacio Municipal""",NULL,NULL,3132489011,NO DISPONIBLE,-74.395699,3.217838,ACTIVA,NULL,NULL
12918,INSTITUTO DEPARTAMENTAL DE RECREACIÓN Y DEPORTE DEL GUAINÍA,900130413,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,,1,INÍRIDA,94,GUAINÍA,NULL,NULL,NULL,NULL,www.inder-guainia.gov.co,-67.923917,3.868297,ACTIVA,JORGE ANTONIO BONILLA BAUTISTA,NULL
5185,PERSONERIA DE EL CARMEN DE BOLIVAR,806002302,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,244,EL CARMEN DE BOLÍVAR,13,BOLÍVAR,"""CALLE 24 CARRERA 49 PALACIO MUNICIPAL""",NULL,NULL,3006786175,http://www.elcarmen-bolivar.gov.co,-75.115733,9.721064,ACTIVA,NULL,NULL
2387,CONCEJO DE PURACE (COCONUCO),NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,585,PURACÉ,19,CAUCA,"""Palacio Municipal Cra 3 No 9-81 Coconuco Purace""",NULL,NULL,8277108,www.purace-cauca.gov.co,-76.455222,2.381112,ACTIVA,NULL,NULL
6192,TRANSPORTE INTEGRADO DE MANIZALES,900159434,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,1,MANIZALES,17,CALDAS,"""Calle 22 Carrera 19 esquina""",8838835,NULL,8838833,NO DISPONIBLE,-75.513817,5.070275,ACTIVA,NULL,NULL
5954,"PERSONERIA DE SANTA MARIA -- SANTA MARIA, HUILA",NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,676,SANTA MARÍA,41,HUILA,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-75.586386,2.939062,ACTIVA,NULL,NULL
8012,DIRECCION GENERAL DE SANIDAD MILITAR 1,899999003,NACIONAL,NO APLICA,CENTRAL,RAMA EJECUTIVA,DEFENSA,ESPECIAL,NO APLICA,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 10 N 27  51 Residencias Tequendama Torre Norte Oficina 204""",3238555,NULL,3238555,http://www.sanidadfuerzasmilitares.mil.co,-74.072092,4.710989,ACTIVA,NULL,NULL
5787,PERSONERIA DE PALMAR,800099818,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,522,PALMAR,68,SANTANDER,"""Calle 5 # 3-31""",7248531,NULL,7248531,NO DISPONIBLE,-73.291148,6.538796,ACTIVA,NULL,NULL
4604,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,890325989,TERRITORIAL,DEPARTAMENTAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,INSTITUCIÓN UNIVERSITARIA,ADSCRITAS,1,CALI,76,VALLE DEL CAUCA,"""Av 2 Norte No. 7 N 28 Barrio Centenario""",6685583,NULL,6203333,http://www.bellasartes.edu.co,-76.531985,3.451647,ACTIVA,NULL,NULL
4847,LOTERIA LA CARTAGENERA,800140668,TERRITORIAL,DEPARTAMENTAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,VINCULADAS,1,CARTAGENA DE INDIAS,13,BOLÍVAR,"""Plaza de la Aduana, Alcaldia de Cartagena""",6649031,NULL,6600404,NO DISPONIBLE,-75.479426,10.391049,ACTIVA,NULL,NULL
1178,ALCALDIA DE TENJO,800095174,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,799,TENJO,25,CUNDINAMARCA,"""Calle 3 No. 3-86""",8646471,NULL,8646471,NO DISPONIBLE,-74.145663,4.871884,ACTIVA,Hansy  Zapata Tibaquira,NULL
1712,CONCEJO DE ARAUCA,834000142,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,1,ARAUCA,81,ARAUCA,"""CARRERA 24 - CALLE 19 CENTRO ADMINISTRATIVO MUNICIPAL""",NULL,NULL,8856794,NO DISPONIBLE,-70.758423,7.088582,ACTIVA,NULL,NULL
5468,PERSONERIA DE SANTA ROSA DE VITERBO,800039213,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,693,SANTA ROSA DE VITERBO,15,BOYACÁ,"""CALLE 8 N 4  15  """,7860345,NULL,7860050,http://starosaviterbo.gov.co,-72.982728,5.87379,ACTIVA,Pedro Elias Castañeda Quitian,NULL
0425,ALCALDIA DE MARGARITA,800095511,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,440,MARGARITA,13,BOLÍVAR,"""Calle Principal, s.n. Barrio Abajo\r\n""",3216568413,NULL,3216568412,http://www.margarita-bolivar.gov.co,-74.280513,9.166368,ACTIVA,GERMAN  MONTES,NULL
8331,FONDO DE DESARROLLO LOCAL SANTA FE BOGOTA,NULL,TERRITORIAL,DISTRITAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,FONDO CUENTA CON PERSONERÍA JURÍDICA,VINCULADAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-74.072092,4.710989,ACTIVA,NULL,NULL
5235,PERSONERIA DE GRAMALOTE,890501404,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,313,GRAMALOTE,54,NORTE DE SANTANDER,"""Casa Municipal Gregorio Montes Piso 2""",5667016,NULL,5667045,http://gramalote-nortedesantander.gov.co,-72.796795,7.887786,ACTIVA,Marco Elias Peñaranda Abril,NULL
2240,"CONCEJO DE LA VEGA -- LA VEGA, CAUCA",891500997,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,397,LA VEGA,19,CAUCA,"""Barrio Santa Maria""",8269744,NULL,3206717078,http://lavegacauca.gov.co,-76.77854,2.00048,ACTIVA,WILMER HERNEY JIMENEZ,NULL
2800,CENTRO DE SALUD SAN SEBASTIAN,900127207,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,480,NARIÑO,52,NARIÑO,"""calle principal Municipio de Nariño""",7231612,NULL,7231612,NO DISPONIBLE,-77.358678,1.28984,ACTIVA,NULL,NULL
4377,FONDO ROTATORIO DE LA VIVIENDA DE LA I.L.C.,890802585,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,1,MANIZALES,17,CALDAS,"""Zona Industrial Juanchito""",8742297,NULL,8782200,NO DISPONIBLE,-75.513817,5.070275,ACTIVA,NULL,NULL
1975,CONCEJO DE SAMANIEGO,8912800003,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,678,SAMANIEGO,52,NARIÑO,"""Cra. 3 Calle 4 Piso III. Esquina""",7480118,NULL,7480118,www.concejosamaniegonarino.gov.co,-77.586155,1.332614,ACTIVA,JORGE ALBERTO MARTINEZ,NULL
2245,CONCEJO DE LABATECA,890503680,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,377,LABATECA,54,NORTE DE SANTANDER,"""Palacio Municipal, primer piso.""",NULL,NULL,5674170,http://labatecanortedesantander.gov.co,-72.496536,7.298618,ACTIVA,GERMAN ALFONSO MALDONADO MONTERREY,NULL
1501,CONCEJO DE AGUADA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,13,AGUADA,68,SANTANDER,"""Palacio Municipal carrera 4 No. 2-73""",NULL,NULL,7565517,http://www.aguada-santander.gov.co,-73.522394,6.161729,ACTIVA,NULL,NULL
1855,CONCEJO DE LA ESTRELLA,890980782,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,380,LA ESTRELLA,05,ANTIOQUIA,"""Calle 63 A No. 58 C 80. La Estrella - Antioquia""",2794163,NULL,3090901,NO DISPONIBLE,-75.635586,6.138751,ACTIVA,NULL,NULL
4180,EMPRESA DE DESARROLLO URBANO DE BARRANQUILLA LTDA.,800091140,TERRITORIAL,DISTRITAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,SOCIEDAD DE ECONOMÍA MIXTA,ADSCRITAS,1,BARRANQUILLA,08,ATLÁNTICO,"""cra 46 No 34-77 piso 7""",3721113,NULL,3706587,http://www.edubar.com.co,-74.806981,11.004107,ACTIVA,NULL,NULL
0175,ALCALDIA DE CAJICA,899999465,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,126,CAJICÁ,25,CUNDINAMARCA,"""Calle 2 No. 4 - 07""",8795356,NULL,8795356,http://www.cajica-cundinamarca.gov.co,-74.024773,4.917531,ACTIVA,NULL,NULL
3520,HOSPITAL RAMON MARIA ARANA  -  MURILLO,809001159,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,461,MURILLO,73,TOLIMA,"""Cll. 5 No. 7-29""",2532241,NULL,2532058,NO DISPONIBLE,-75.170429,4.874181,ACTIVA,NULL,NULL
5077,PERSONERIA DE ALMAGUER,891502664,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,22,ALMAGUER,19,CAUCA,"""CAM PARQUE MUNICIPAL""",8267521,NULL,8267750,NO DISPONIBLE,-76.854839,1.914182,ACTIVA,NULL,NULL
3634,HOSPITAL UNIVERSITARIO  HERNANDO MONCALEANO PERDOMO  - NEIVA,891180268,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,1,NEIVA,41,HUILA,"""calle 9 N° 15-25""",8714415,NULL,8715907,http://www.hospitalneiva.gov.co,-75.2809,2.934484,ACTIVA,EMMA CONSTANZA SASTOQUE MEÑACA,NULL
0694,ALCALDIA DE LA MERCED,890802795,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,388,LA MERCED,17,CALDAS,"""CALLE 14 N 6  27  """,8512232,NULL,3104095872,http://lamerced-caldas.gov.co,-75.547035,5.398218,ACTIVA,JHONATTAN MANUEL VASQUEZ DUQUE,NULL
8263,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE MOLAGAVITA SA,NULL,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,468,MOLAGAVITA,68,SANTANDER,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-72.809267,6.674385,ACTIVA,NULL,NULL
8117,AGENCIA DE DESARROLLO RURAL,900948958,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,AGRICULTURA Y DESARROLLO SOCIAL,AGENCIA ESTATAL DE NATURALEZA ESPECIAL,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 43   57  41 Piso 1 CAN""",NULL,NULL,3830444,http://www.adr.gov.co,-74.072092,4.710989,ACTIVA,NULL,NULL
6048,PERSONERIA DE URIBIA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,847,URIBIA,44,LA GUAJIRA,"""Calle 12 No. 8 - 61 - Palacio Municipal""",NULL,NULL,7177255,NO DISPONIBLE,-72.265939,11.714998,ACTIVA,NULL,NULL
1488,CONCEJO DE ANCUYA,814001665,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,36,ANCUYA,52,NARIÑO,"""Oficina del Concejo Municipal 2 piso - Palacio Municipal""",NULL,NULL,7287372,NO DISPONIBLE,-77.515158,1.26295,ACTIVA,NULL,NULL
0816,ALCALDIA DE OIBA,890210948,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,500,OIBA,68,SANTANDER,"""CALLE 10 6-36""",NULL,NULL,7173285,NO DISPONIBLE,-73.299983,6.267525,ACTIVA,EDWAR JULIAN DIAZ RODRIGUEZ,NULL
3251,ESE HOSPITAL SAN RAFAEL CAROLINA  DEL PRINCIPE,890906344,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,NO APLICA,150,CAROLINA,05,ANTIOQUIA,"""Calle 77ASur # 55-110 Interior 12-12 La Estrella""",6048634119,NULL,8634045,www.esesanrafael-carolina-antioquia.gov.co,-75.282299,6.724917,ACTIVA,DANIEL CASTRILLON ARANGO,NULL
2417,CONCEJO DE SAHAGUN,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,660,SAHAGÚN,23,CÓRDOBA,"""CALLE 14 N º  10 - 30 Placio Municipal""",NULL,NULL,7775879,http://www.concejomunicipaldesahagun.com,-75.446001,8.950643,ACTIVA,Luis Carlos Mercado Vega,NULL
5067,"PERSONERIA DE EL PEÑON -- EL PEÑON, BOLIVAR",806001439,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,268,EL PEÑÓN,13,BOLÍVAR,"""Calle 5 # 11-28""",NULL,NULL,3135011307,http://www.elpenon-bolivar.gov.co,-73.94978,8.989142,ACTIVA,NULL,NULL
4629,COMISION DE REGULACION DE INFRAESTRUCTURA DE TRANSPORTE,NULL,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,TRANSPORTE,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-74.072092,4.710989,ACTIVA,NULL,NULL
1365,BANCO INMOBILIARIO DE FLORIDABLANCA,900015871,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,276,FLORIDABLANCA,68,SANTANDER,"""Transversal 29 No.5-33 Lagos III Floridablanca""",6496531,NULL,6497285,http://www.bif.gov.co,-73.106969,7.072392,ACTIVA,NULL,NULL
5903,"PERSONERIA DE SAN FRANCISCO -- SAN FRANCISCO, PUTUMAYO",800102903,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,755,SAN FRANCISCO,86,PUTUMAYO,"""palacio municipal san francisco putumayo""",4271124,NULL,4271124,http://www.sanfrancisco-putumayo.gov.co,-76.875695,1.176194,ACTIVA,NULL,NULL
4463,INSTITUCION PRESTADORA DE SERVICIOS DE SALUD CENTRO DE SALUD DE PUERTO PARRA,829003945,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,INSTITUCIÓN PRESTADORA DE SERVICIOS DE SALUD,ADSCRITAS,573,PUERTO PARRA,68,SANTANDER,"""ZONA URBANA BARRIO KENNEDY""",6275090,NULL,6275077,NO DISPONIBLE,-74.055934,6.650797,ACTIVA,NULL,NULL
3039,CENTRO DE SALUD TOTA,826002890,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,822,TOTA,15,BOYACÁ,"""CALLE 2 No 3 Esquina""",NULL,NULL,7700945,NO DISPONIBLE,-72.985939,5.560332,ACTIVA,NULL,NULL
3887,EMPRESA DE SERVICIOS PUBLICOS DEL DISTRITO DE SANTA MARTA .,800181106,TERRITORIAL,DISTRITAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,1,SANTA MARTA,47,MAGDALENA,"""Cra 10 No. 18 - 26 Gaira""",4224915,NULL,4228852,https://essmar.gov.co,-74.211023,11.240355,ACTIVA,Yahaira Indira De Jesús Díaz Quesada,NULL
4146,EMPRESA DE SERVICIOS PUBLICOS SERVIDOLORES,809012411,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,236,DOLORES,73,TOLIMA,"""Carrera 7   Calle 3 esquina""",2268513,NULL,2268513,NO DISPONIBLE,-74.74952,3.67109,ACTIVA,FABIO  JIMENEZ,NULL
8011,COMANDO GENERAL DE LAS FUERZAS MILITARES 1,899999003,NACIONAL,NO APLICA,CENTRAL,RAMA EJECUTIVA,DEFENSA,ESPECIAL,NO APLICA,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""Avenida El Dorado Carrera 52, Centro Administrativo Nacional (CAN)""",3150111,NULL,3150111,http://www.cgfm.mil.co,-74.072092,4.710989,ACTIVA,NULL,NULL
2069,CONCEJO DE TUTA,800027292,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,837,TUTA,15,BOYACÁ,"""Cra. 6 No. 6-18""",7351209,NULL,7351038,NO DISPONIBLE,-73.225987,5.690894,ACTIVA,NULL,NULL
0832,ALCALDIA DE PACHO,899999475,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,513,PACHO,25,CUNDINAMARCA,"""Carrera 16 No. 7-29""",8540921,NULL,8540950,http://www.pacho-cundinamarca.gov.co,-74.152868,5.137918,ACTIVA,Nestor Vicente Ostos Bustos,NULL
3396,HOSPITAL FELIPE SUAREZ DE SALAMINA,890801206,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,653,SALAMINA,17,CALDAS,"""Calle 3ª Nº. 9a-21""",8595306,NULL,8595192,http://www.hospitalsalamina.com,-75.486468,5.402354,ACTIVA,NULL,NULL
2964,CENTRO DE SALUD DEL MUNICIPIO DE SUTAMARCHAN,820003876,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,776,SUTAMARCHÁN,15,BOYACÁ,"""Cra 3 No. 2-02 Sutamarchan Boyacá""",7251479,NULL,87251479,NO DISPONIBLE,-73.620936,5.620003,ACTIVA,NULL,NULL
0457,ALCALDIA DE PUERTO SANTANDER,800250853,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,553,PUERTO SANTANDER,54,NORTE DE SANTANDER,"""Carrera  3  No 2 - 35""",NULL,NULL,5660135,http://www.puertosantander-nortedesantander.gov.co,-72.408389,8.361323,ACTIVA,NULL,NULL
3489,HOSPITAL LUISA SANTIAGA MARQUEZ IGUARAN,819001712,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,53,ARACATACA,47,MAGDALENA,"""Carretera Troncal del Caribe Frente al Estadio Municipal Chelo Castro""",4270462,NULL,4270462,NO DISPONIBLE,-74.186103,10.591925,ACTIVA,NULL,NULL
2863,"HOSPITAL UNIVERSITARIO DEL CARIBE -- BARRANQUILLA, ATLANTICO",9000042103,TERRITORIAL,DISTRITAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,1,BARRANQUILLA,08,ATLÁNTICO,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-74.806981,11.004107,ACTIVA,NULL,NULL
3012,CENTRO DE SALUD SAN JERONIMO - MONGUA,826002830,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,464,MONGUA,15,BOYACÁ,"""Carrera 4 No. 4-33""",7772372,NULL,7772372,NO DISPONIBLE,-72.799848,5.754154,ACTIVA,NULL,NULL
2611,CONCEJO DE VILLAMARIA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,873,VILLAMARÍA,17,CALDAS,"""PALACIO MUNICIPAL Carrera 4 Calle 9""",8771356,NULL,8771356,http://www.villamaria-caldas.gov.co,-75.514771,5.042569,ACTIVA,NULL,NULL
3614,HOSPITAL SAN VICENTE DE PAUL DE ONZAGA,890200965,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,502,ONZAGA,68,SANTANDER,"""Cra 1 No. 1-51""",7217723,NULL,7217523,http://www.hospital-onzaga-santander.gov.co,-72.814792,6.343847,ACTIVA,LILIANA QUINTERO PINTO,NULL
5837,PERSONERIA DE PUERTO RONDON,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,591,PUERTO RONDÓN,81,ARAUCA,"""VACIA""",NULL,NULL,8897075,NO DISPONIBLE,-71.104796,6.281167,ACTIVA,NULL,NULL
